breakdown,group,rows,method,exact_match,bleu4,rouge1_f1,rouge2_f1,rougeL_f1,semantic_cosine_bge_m3,format_type_match,format_structure_score,validator_adherence,validator_rows,length_diff_tokens,absolute_length_diff_tokens,length_ratio_tokens,terminated_with_eos,length_diff_chars,trajectory_kl_macro,trajectory_kl_micro,trajectory_token_count
task_family,style,3,full_prompt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,55
task_family,style,3,qtraj_teacher_margin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,0.0,0.0,1.0,1.0,0.0,0.2051129822852029,0.20618110522701416,55
task_family,style,3,qtraj_topk_delta,1.0,1.0,1.0,1.0,1.0,0.9999992847442627,1.0,1.0,,0,0.0,0.0,1.0,1.0,0.0,0.0047725129674100406,0.00479519703520995,55
task_family,style,3,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.9999992847442627,1.0,1.0,,0,0.0,0.0,1.0,1.0,0.0,0.03282631819583345,0.03297267692722182,55
length_variant,long_redundant,6,base_no_prompt,0.16666666666666666,0.2720302077801398,0.4859043943725727,0.34353132123785807,0.3783703038600436,0.8723740875720978,0.5,0.6268120768120768,0.0,3,72.16666666666667,83.5,2.9065010845799524,0.5,202.5,0.7198406153513525,0.3036954665432791,605
length_variant,long_redundant,6,full_prompt,1.0,1.0,1.0,1.0,1.0,0.9999999900658926,1.0,1.0,1.0,3,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,0.0,605
length_variant,long_redundant,6,qtraj_teacher_margin,0.3333333333333333,0.5583696180315868,0.6959064238743607,0.6164979136021255,0.641464550506656,0.9504579901695251,0.6666666666666666,0.8967143967143968,0.6666666666666666,3,37.666666666666664,40.0,1.9752574040946136,0.6666666666666666,115.66666666666667,0.4177388314123858,0.3143589040044785,605
length_variant,long_redundant,6,qtraj_topk_delta,0.3333333333333333,0.4754013796924126,0.6368034902235781,0.5524677116657696,0.5566507208472244,0.9385854005813599,0.6666666666666666,0.9010770975056689,0.6666666666666666,3,29.166666666666668,62.833333333333336,2.045722520373683,0.6666666666666666,100.83333333333333,0.06143393139041122,0.0737609731010486,605
length_variant,long_redundant,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.9999996324380239,1.0,1.0,1.0,3,0.0,0.0,1.0,0.8333333333333334,0.0,0.06870776938053456,0.06416834740150087,605
length_variant,medium_redundant,6,base_no_prompt,0.16666666666666666,0.25659913474602486,0.47363978622369696,0.32824215177084065,0.37061198908550014,0.8549218575159708,0.5,0.6284632034632035,0.0,3,73.83333333333333,88.5,3.4394011402707054,0.5,178.16666666666666,0.7646904234559893,0.2821309025320961,595
length_variant,medium_redundant,6,full_prompt,1.0,1.0,1.0,1.0,1.0,1.0000000198682149,1.0,1.0,1.0,3,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,0.0,595
length_variant,medium_redundant,6,qtraj_teacher_margin,0.5,0.6472303951028541,0.7574357641666706,0.6795908413116489,0.6894838076806994,0.9537568986415863,1.0,0.9873015873015873,1.0,3,20.5,30.166666666666668,1.663203203203203,0.8333333333333334,17.5,0.45585111972368186,0.27930144758064035,595
length_variant,medium_redundant,6,qtraj_topk_delta,0.3333333333333333,0.5202033087053949,0.6667298359160984,0.5749691713785537,0.5999935162711708,0.9277650415897369,1.0,0.9585978835978836,1.0,3,38.666666666666664,38.666666666666664,1.955817692692693,0.6666666666666666,61.0,0.03661714135304595,0.047967777540879185,595
length_variant,medium_redundant,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,1.0000000198682149,1.0,1.0,1.0,3,0.0,0.0,1.0,0.8333333333333334,0.0,0.05936414537697996,0.050153086671269116,595
