breakdown,group,rows,method,exact_match,bleu4,rouge1_f1,rouge2_f1,rougeL_f1,semantic_cosine_bge_m3,format_type_match,format_structure_score,validator_adherence,validator_rows,length_diff_tokens,absolute_length_diff_tokens,length_ratio_tokens,terminated_with_eos,length_diff_chars,trajectory_kl_macro,trajectory_kl_micro,trajectory_token_count
subtype,direct_complete_response,30,qtraj_teacher_margin,0.06666666666666667,0.44923948445026074,0.6227762294068515,0.5100582737539452,0.5554341718384956,0.949672402938207,0.9333333333333333,0.885961277653007,,0,46.833333333333336,49.766666666666666,1.6090217106066207,0.4666666666666667,101.33333333333333,0.33007508416903913,0.23994805342292538,4249
subtype,direct_complete_response,30,qtraj_topk_delta,0.06666666666666667,0.4747529593157444,0.670653841083099,0.5337165314137505,0.5793108713671504,0.9391185482343037,0.8333333333333334,0.8906070746296311,,0,12.8,22.133333333333333,1.1739478364221259,0.7666666666666667,32.766666666666666,0.038548045431078246,0.04618388848605079,4249
subtype,direct_complete_response,30,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.9999997754891713,1.0,1.0,,0,0.0,0.0,1.0,0.7333333333333333,0.0,0.03145253637083648,0.03522258124253641,4249
subtype,exactly_two,6,base_no_prompt,0.0,0.08663476592643292,0.338562245970802,0.16380000314274215,0.2327262324871321,0.8405837217966715,0.0,0.49829931972789115,0.0,6,137.83333333333334,137.83333333333334,2.6326723178806053,0.5,376.1666666666667,0.2924094784563855,0.27689944825908974,595
subtype,exactly_two,6,full_prompt,1.0,1.0,1.0,1.0,1.0,1.0000000298023224,1.0,1.0,1.0,6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,595
subtype,exactly_two,6,qtraj_teacher_margin,0.0,0.2045117337173725,0.38516735163016413,0.2803477749889178,0.3548922113873984,0.8755370378494263,0.5,0.611111111111111,0.0,6,135.5,135.5,2.416119705801263,0.16666666666666666,440.1666666666667,0.5034111727458324,0.520453543699053,595
subtype,exactly_two,6,qtraj_topk_delta,0.0,0.2641730910611878,0.5244734848592484,0.356287186193225,0.4105254754433114,0.9165882567564646,0.5,0.619047619047619,0.0,6,38.166666666666664,58.833333333333336,1.5302632260506186,1.0,51.0,0.14000294730040316,0.15123033175342104,595
subtype,exactly_two,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,1.0000000298023224,1.0,1.0,1.0,6,0.0,0.0,1.0,1.0,0.0,0.10029188232184617,0.10466502700684804,595
subtype,fixed_prefix,6,base_no_prompt,0.0,0.21192957355368022,0.40629557657151905,0.3433594624070815,0.3783863770494163,0.8459006249904633,1.0,0.6749999999999999,0.0,6,40.0,40.0,2.599380616364312,1.0,148.5,2.0414122587591943,1.9642434727030875,168
subtype,fixed_prefix,6,full_prompt,1.0,1.0,1.0,1.0,1.0,0.9999999900658926,1.0,1.0,1.0,6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,168
subtype,fixed_prefix,6,qtraj_teacher_margin,1.0,1.0,1.0,1.0,1.0,0.9999999900658926,1.0,1.0,1.0,6,-0.16666666666666666,0.16666666666666666,0.9947916666666666,1.0,0.0,0.4593461517772608,0.47215577669519704,168
